signature,category,variant,language,tone,text
MARS_FAVORABLE,GENERAL,1,HINGLISH,POSITIVE,"Beta, aaj Mars ki kripa se aapke andar ek nayi urja ka sanchaar hoga. Subah uthte hi mann me utsaah bhara hoga aur har kaam me safalta milegi. Office me aapki mehnat ki prashansa hogi aur pariwar me khushi ka mahol rahega. Kisi naye kaam ki shuruaat karne ka accha samay hai. Bas gussa control me rakhein aur dusron ki baat dhyaan se sunein. Aaj kisi zarooratmand ki madad zaroor karein, isse aapko mann ki shanti milegi aur shubh fal bhi milega."
MARS_FAVORABLE,GENERAL,2,HINGLISH,POSITIVE,"Beta, aaj ka din aapke liye bahut shubh hai. Mars ki urja se aapka manobal uchch rahega aur kisi purane rukhe kaam ko aaj poora karne ka accha mauka milega. Log aapki himmat aur saahas ki prashansa karenge. Vyapar me naye sampaak banenge aur ghar me koi shubh samachar mil sakta hai. Thoda satark rahein kyunki jaldbazi se nuksan ho sakta hai. Kisi bade kaam ko chhote hisson me baant kar karein, safalta zaroor milegi."
MARS_FAVORABLE,GENERAL,3,HINGLISH,POSITIVE,"Beta, aaj Mars aapke paksh me hai. Subah se hi aapko ek nayi urja mehsoos hogi jo mushkil kaam bhi aasani se karne me madad karegi. Office me aapka parcha lagega aur senior aapki tareef karenge. Ghar ke maahol me khushi rahegi aur pariwar ke sadasya aapki prashansa karenge. Kisi naye project par vichaar karne ka accha samay hai. Din ki shuruaat bhagwan ke darshan se karein aur kisi bade kaam ko karne se pehle apne guru se salah lein."
MARS_FAVORABLE,LOVE,1,HINGLISH,POSITIVE,"Beta, aaj partner ke saath quality time bitane ka mauka milega. Dil ki baat kehne se pehle soch lein kyunki shabd prabhavi hain."
MARS_FAVORABLE,LOVE,2,HINGLISH,POSITIVE,"Beta, aaj prem me ujjwal din hai. Partner aapki baaton se khush honge aur purana jhagda khatam hoga. Saath me koi naya plan banayein."
MARS_FAVORABLE,LOVE,3,HINGLISH,POSITIVE,"Beta, aaj rishte me nayi jaan aayegi. Partner ke saath samvad accha rahega. Single hain to kisi mitra ke through accha rishta mil sakta hai."
MARS_FAVORABLE,CAREER,1,HINGLISH,POSITIVE,"Beta, office me aaj aapka parcha lagega. Mars ki urja se mushkil kaam bhi aasani se hoga. Boss aapke kaam se khush honge."
MARS_FAVORABLE,CAREER,2,HINGLISH,POSITIVE,"Beta, aaj vyapar me naye avsar milenge. Client meeting me aapka prabhav rahega. Kisi senior se salah zaroor lein."
MARS_FAVORABLE,CAREER,3,HINGLISH,POSITIVE,"Beta, aaj aapki mehnat rang layegi. Aap bade project ki zimmedari le sakte hain. Team me samman badhega."
MARS_FAVORABLE,WELLNESS,1,HINGLISH,POSITIVE,"Beta, aaj mann prasann rahega. Subah ki dhoop me thodi der baithna labhdayak rahega. Dhyaan aur yoga se mann shant rahega."
MARS_FAVORABLE,WELLNESS,2,HINGLISH,POSITIVE,"Beta, aaj aatmavishwas uchch rahega. Kisi mitra se milkar mann halka hoga. Shaam ko thodi walk karein."
MARS_FAVORABLE,WELLNESS,3,HINGLISH,POSITIVE,"Beta, aaj mann aur tan dono me urja rahegi. Meditation se mann shant hoga. Pariwar ke saath samay accha bitega."
MARS_FAVORABLE,HEALTH,1,HINGLISH,POSITIVE,"Beta, aaj sehat acchi rahegi. Subah vyayam karna labhdayak rahega. Khaane me hari sabziyan shamil karein aur pani adhik piyein."
MARS_FAVORABLE,HEALTH,2,HINGLISH,POSITIVE,"Beta, aaj sehat me sudhar rahega. Kisi naye vyayam ko shuru karne ka accha samay hai. Bahar ka tel bhojan se bachein."
MARS_FAVORABLE,HEALTH,3,HINGLISH,POSITIVE,"Beta, aaj body me urja bharpoor rahegi. Subah ki walk se din accha rahega. Raat ko 7 ghante ki neend zaroor lein."
MARS_FAVORABLE,FINANCE,1,HINGLISH,POSITIVE,"Beta, aaj dhan labh ke yog hain. Koi ruka hua paisa wapas aa sakta hai. Naye nivesh par vichaar karein lekin jaldbazi na karein."
MARS_FAVORABLE,FINANCE,2,HINGLISH,POSITIVE,"Beta, aaj aarthik sthiti majboot rahegi. Purane loan ko chukane ka plan bana sakte hain. Bachat ke liye alag khata kholein."
MARS_FAVORABLE,FINANCE,3,HINGLISH,POSITIVE,"Beta, aaj paise ke mamle me shubh din hai. Koi accha avsar milega. Share bazar me soch samajh kar nivesh karein."
MARS_CHALLENGING,GENERAL,1,HINGLISH,CAUTIONARY,"Beta, aaj thoda satark rahein kyunki Mars ki urja tez rahegi. Gussa aur jaldbazi se bachein aur kisi bhi baat ka jawab dene se pehle sochein. Ghar me kisi se matbhed ho sakta hai isliye shaant rahein. Vyapar me naye kaam ko thoda rukein. Din ke ant me thakan ho sakti hai isliye aaram karein. Subah 10 minute dhyaan karein aur din ki shuruaat bhagwan ke naam se karein. Kal se din phir accha rahega, ghabrayein nahi."
MARS_CHALLENGING,GENERAL,2,HINGLISH,CAUTIONARY,"Beta, aaj kuch chhoti badhaayein aa sakti hain. Mars ki urja se aap jaldbazi me koi galat kadam utha sakte hain isliye har kaam do baar check karein. Kisi se vaada karne se pehle soch lein aur safar me dhyan rakhein. Ghar me shaanti banaaye rakhein. Kisi purane vivaad ko aaj na chhedain. Shaam ko thoda samay apne liye nikaalein aur raat ko jaldi sone ki koshish karein. Dhyaan rakhein, sab theek ho jayega."
