zodiac,planet,sign,sign_lord,nakshatra,nakshatra_lord,degree,retro,house,state,status
Aries,Ascendant,Aries,Mars,Ashwini,Ketu,0° 0′ 0″,No,1,Bala,OWNED
Aries,SUN,Aries,Mars,Bharani,Venus,15° 22′ 11″,No,1,Kumara,EXALTED
Aries,MOON,Taurus,Venus,Rohini,Moon,8° 45′ 30″,No,2,Yuva,EXALTED
Aries,MERCURY,Pisces,Jupiter,Uttara Bhadrapada,Saturn,27° 10′ 5″,No,12,Vriddha,DEBILITATED
Aries,VENUS,Aquarius,Saturn,Purva Bhadrapada,Jupiter,21° 33′ 48″,No,11,Mrita,FRIENDLY
Aries,MARS,Aries,Mars,Ashwini,Ketu,12° 5′ 19″,No,1,Yuva,OWNED
Aries,JUPITER,Cancer,Moon,Punarvasu,Jupiter,18° 27′ 55″,Yes,4,Kumara,EXALTED
Aries,SATURN,Capricorn,Saturn,Shravana,Moon,9° 14′ 2″,Yes,10,Bala,OWNED
Aries,RAHU,Taurus,Venus,Mrigashira,Mars,3° 52′ 44″,Yes,2,Bala,--
Aries,KETU,Scorpio,Mars,Anuradha,Saturn,3° 52′ 44″,Yes,8,Bala,--
Aries,NEPTUNE,Pisces,Jupiter,Revati,Mercury,25° 40′ 12″,No,12,Vriddha,--
Aries,URANUS,Taurus,Venus,Krittika,Sun,14° 8′ 37″,No,2,Kumara,--
Aries,PLUTO,Capricorn,Saturn,Shravana,Moon,28° 55′ 21″,No,10,Mrita,--
Taurus,Ascendant,Taurus,Venus,Rohini,Moon,0° 0′ 0″,No,1,Bala,OWNED
Taurus,SUN,Taurus,Venus,Rohini,Moon,10° 18′ 42″,No,1,Kumara,FRIENDLY
Taurus,MOON,Cancer,Moon,Ashlesha,Mercury,22° 36′ 9″,No,3,Yuva,OWNED
Taurus,MERCURY,Gemini,Mercury,Ardra,Rahu,5° 51′ 27″,No,2,Bala,OWNED
Taurus,VENUS,Taurus,Venus,Rohini,Moon,17° 44′ 3″,No,1,Yuva,OWNED
Taurus,MARS,Leo,Sun,Magha,Ketu,26° 12′ 38″,No,4,Vriddha,FRIENDLY
Taurus,JUPITER,Gemini,Mercury,Punarvasu,Jupiter,11° 29′ 50″,No,2,Kumara,NEUTRAL
Taurus,SATURN,Aquarius,Saturn,Shatabhisha,Rahu,7° 3′ 16″,Yes,10,Bala,OWNED
Taurus,RAHU,Aries,Mars,Ashwini,Ketu,19° 47′ 25″,Yes,12,Kumara,--
Taurus,KETU,Libra,Venus,Swati,Rahu,19° 47′ 25″,Yes,6,Kumara,--
Taurus,NEPTUNE,Aries,Mars,Bharani,Venus,2° 15′ 54″,No,12,Bala,--
Taurus,URANUS,Taurus,Venus,Krittika,Sun,20° 33′ 11″,No,1,Yuva,--
Taurus,PLUTO,Aquarius,Saturn,Purva Bhadrapada,Jupiter,4° 58′ 29″,No,10,Bala,--
Gemini,Ascendant,Gemini,Mercury,Mrigashira,Mars,0° 0′ 0″,No,1,Bala,OWNED
Gemini,SUN,Gemini,Mercury,Mrigashira,Mars,24° 7′ 33″,No,1,Yuva,FRIENDLY
Gemini,MOON,Virgo,Mercury,Hasta,Moon,13° 41′ 58″,No,4,Kumara,FRIENDLY
Gemini,MERCURY,Gemini,Mercury,Mrigashira,Mars,2° 26′ 15″,No,1,Bala,OWNED
Gemini,VENUS,Leo,Sun,Purva Phalguni,Venus,29° 3′ 47″,No,3,Mrita,ENEMY
Gemini,MARS,Virgo,Mercury,Uttara Phalguni,Sun,8° 19′ 22″,No,4,Bala,NEUTRAL
Gemini,JUPITER,Leo,Sun,Magha,Ketu,16° 52′ 6″,No,3,Kumara,FRIENDLY
Gemini,SATURN,Pisces,Jupiter,Uttara Bhadrapada,Saturn,23° 37′ 41″,Yes,10,Vriddha,NEUTRAL
Gemini,RAHU,Pisces,Jupiter,Revati,Mercury,11° 5′ 13″,Yes,10,Kumara,--
Gemini,KETU,Virgo,Mercury,Hasta,Moon,11° 5′ 13″,Yes,4,Kumara,--
Gemini,NEPTUNE,Taurus,Venus,Rohini,Moon,19° 22′ 36″,No,12,Kumara,--
Gemini,URANUS,Gemini,Mercury,Ardra,Rahu,27° 48′ 2″,No,1,Vriddha,--
Gemini,PLUTO,Pisces,Jupiter,Revati,Mercury,15° 31′ 44″,No,10,Kumara,--
Cancer,Ascendant,Cancer,Moon,Punarvasu,Jupiter,0° 0′ 0″,No,1,Bala,OWNED
Cancer,SUN,Cancer,Moon,Pushya,Saturn,7° 34′ 19″,No,1,Bala,FRIENDLY
Cancer,MOON,Libra,Venus,Chitra,Mars,28° 16′ 5″,No,4,Mrita,NEUTRAL
Cancer,MERCURY,Cancer,Moon,Ashlesha,Mercury,21° 9′ 37″,No,1,Yuva,OWNED
Cancer,VENUS,Virgo,Mercury,Uttara Phalguni,Sun,14° 43′ 51″,No,3,Kumara,DEBILITATED
Cancer,MARS,Taurus,Venus,Rohini,Moon,3° 28′ 26″,No,11,Bala,NEUTRAL
Cancer,JUPITER,Virgo,Mercury,Chitra,Mars,25° 55′ 14″,No,3,Vriddha,ENEMY
Cancer,SATURN,Sagittarius,Jupiter,Mula,Ketu,12° 47′ 33″,Yes,6,Kumara,NEUTRAL
Cancer,RAHU,Aquarius,Saturn,Shatabhisha,Rahu,6° 21′ 49″,Yes,8,Bala,--
Cancer,KETU,Leo,Sun,Magha,Ketu,6° 21′ 49″,Yes,2,Bala,--
Cancer,NEPTUNE,Cancer,Moon,Pushya,Saturn,10° 54′ 27″,No,1,Kumara,--
Cancer,URANUS,Cancer,Moon,Ashlesha,Mercury,23° 16′ 58″,No,1,Yuva,--
Cancer,PLUTO,Sagittarius,Jupiter,Purva Ashadha,Venus,1° 39′ 12″,No,6,Bala,--
Leo,Ascendant,Leo,Sun,Magha,Ketu,0° 0′ 0″,No,1,Bala,OWNED
Leo,SUN,Leo,Sun,Purva Phalguni,Venus,19° 26′ 44″,No,1,Kumara,OWNED
Leo,MOON,Scorpio,Mars,Anuradha,Saturn,9° 58′ 21″,No,4,Bala,DEBILITATED
Leo,MERCURY,Leo,Sun,Magha,Ketu,11° 37′ 9″,No,1,Kumara,FRIENDLY
Leo,VENUS,Libra,Venus,Swati,Rahu,26° 14′ 53″,No,3,Vriddha,OWNED
Leo,MARS,Gemini,Mercury,Punarvasu,Jupiter,17° 5′ 38″,No,11,Kumara,NEUTRAL
Leo,JUPITER,Scorpio,Mars,Vishakha,Jupiter,4° 42′ 17″,No,4,Bala,FRIENDLY
Leo,SATURN,Aquarius,Saturn,Purva Bhadrapada,Jupiter,29° 31′ 6″,Yes,7,Mrita,OWNED
Leo,RAHU,Capricorn,Saturn,Uttara Ashadha,Sun,14° 18′ 35″,Yes,6,Kumara,--
Leo,KETU,Cancer,Moon,Ashlesha,Mercury,14° 18′ 35″,Yes,12,Kumara,--
Leo,NEPTUNE,Gemini,Mercury,Ardra,Rahu,28° 47′ 19″,No,11,Vriddha,--
Leo,URANUS,Gemini,Mercury,Mrigashira,Mars,6° 52′ 41″,No,11,Bala,--
Leo,PLUTO,Sagittarius,Jupiter,Uttara Ashadha,Sun,9° 24′ 57″,No,5,Bala,--
