type,zodiac,category,title,content,field1,field2,field3,field4
DOSHA,ARIES,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha maujud hai kyunki Mangal saptam bhav me baitha hai. Iska asar aapke vivah aur saath jeevan par pad sakta hai. Jeevansathi ke saath chhoti baat par jhagda ho sakta hai aur gussa zyada aata hai. Thoda dhairya rakhne se yeh dosha apna asar kam kar deta hai.","HIGH","true","Mangalvar ko Hanuman Chalisa ka path karein aur lal masoor ka daan karein. Vivah se pehle Kundali milan zaroor karayein.",""
DOSHA,ARIES,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,ARIES,DOSHA,Pitru Dosha,"Aapki kundali me halka Pitru Dosha dikh raha hai kyunki Surya aur Chandra par Shani ka prabhav hai. Isse aapke parivar me kuch rukavatein aa sakti hain. Santan aur aarthik mamlon me thodi deri ho sakti hai. Purvajon ka aashirwad lene se yeh dosha shant hota hai.","MEDIUM","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
DOSHA,TAURUS,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha nahi hai kyunki Mangal ki sthiti shubh hai. Aapka vivah sukh se hoga aur jeevansathi ke saath prem bana rahega. Chhoti-moti takraar sabhi rishton me hoti hai, lekin yeh gambhir nahi hai. Aap apne partner ko samman dein to rishta mazboot rahega.","LOW","false","Mangalvar ko Hanuman ji ke darshan karein aur lal phool chadhayein. Yeh aapke vivah me sukh laayega.",""
DOSHA,TAURUS,DOSHA,Sade Sati,"Aapki kundali me Sade Sati ka prabhav chal raha hai kyunki Shani aapki rashi se dvitiya ya dwadash bhav me hai. Isse mansik ashanti, aarthik tanav aur karya me rukavat aa sakti hai. Parivar me kisi ki sehat ka dhyan rakhna padega. Lekin yeh samay aapko dhairya aur anushasan sikhata hai.","HIGH","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,TAURUS,DOSHA,Grahana Dosha,"Aapki kundali me Grahana Dosha halka hai kyunki Chandra par Rahu ya Ketu ka prabhav hai. Isse mann me kabhi-kabhi ashanti aur neend ki samasya ho sakti hai. Mansik sthiti ko santulit rakhna zaroori hai. Dhyan aur pranayam se yeh dosha kam hota hai.","MEDIUM","true","Somvar ko Shiv ji ko jal arpan karein aur Chandra ko doodh arpit karein. Meditation roz karein.",""
DOSHA,GEMINI,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha maujud hai kyunki Mangal chaturth ya ashtam bhav me baitha hai. Isse ghar me ashanti aur maa ki sehat se judi samasya ho sakti hai. Vivah me thodi deri ho sakti hai ya jeevansathi se matbhed ho sakta hai. Thoda shaant rahne se yeh dosha kam hota hai.","HIGH","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Ghar me Hanuman ji ki murti rakhein.",""
DOSHA,GEMINI,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,GEMINI,DOSHA,Pitru Dosha,"Aapki kundali me Pitru Dosha halka dikh raha hai kyunki Navam bhav me Shani ka prabhav hai. Isse santan aur bhagya me thodi rukavat aa sakti hai. Purvajon ka aashirwad lene se yeh dosha shant hota hai. Amavasya ko tarpan karna aapke liye faydemand rahega.","MEDIUM","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
DOSHA,CANCER,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha nahi hai kyunki Mangal ki sthiti shubh hai. Aapka vivah sukh se hoga aur jeevansathi ke saath prem bana rahega. Chhoti-moti takraar sabhi rishton me hoti hai, lekin yeh gambhir nahi hai. Aap apne partner ko samman dein to rishta mazboot rahega.","LOW","false","Mangalvar ko Hanuman ji ke darshan karein aur lal phool chadhayein. Yeh aapke vivah me sukh laayega.",""
