type,zodiac,category,title,content,field1,field2,field3,field4
REMEDY,ARIES,Mantra,"Mangal Beej Mantra Jaap","Om Kraam Kreem Kraum Sah Bhaumaya Namah ka 108 baar jaap karein, khas taur par Mangalvar ko. Yeh mantra Mangal ki shakti badhata hai aur jaldbazi kam karta hai. Subah snan ke baad lal vastra pehen kar jaap karein. Isse aapki urja sahi disha me lagegi aur jhagde kam honge.","","","",""
REMEDY,ARIES,Donation,"Lal Masoor aur Gud Daan","Mangalvar ko Lal Masoor ki dal, gud aur tamba daan karein kisi zaruratmand ko. Yeh daan Mangal ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki sehat aur veerata me vriddhi hogi.","","","",""
REMEDY,ARIES,Fasting,"Mangalvar Vrat aur Phalahar","Mangalvar ka vrat rakhein aur sirf phalahar ya ek samay ka sattvik bhojan karein. Hanuman ji ke mandir me jaakar lal sindoor aur chameli ka tel chadhayein. Yeh vrat Mangal ko shant karta hai aur aapke gusse par niyantran deta hai. Niyamit vrat se aapki energy sahi disha me lagegi.","","","",""
REMEDY,ARIES,Puja,"Hanuman Chalisa Path","Roz subah Hanuman Chalisa ka path karein, khas taur par Mangalvar aur Shanivar ko. Hanuman ji ki murti ke samne ghee ka diya jalayein aur boondi ka prasad chadhayein. Isse aapke sabhi sankat door hote hain aur Mangal ki kripa milti hai. Path ke baad Hanuman ji ko lal phool arpit karein.","","","",""
REMEDY,TAURUS,Mantra,"Shukra Beej Mantra Jaap","Om Draam Dreem Draum Sah Shukraya Namah ka 108 baar jaap karein, khas taur par Shukravar ko. Yeh mantra Shukra ki kripa badhata hai aur jeevan me sukh-samriddhi laata hai. Subah snan ke baad safed vastra pehen kar jaap karein. Isse aapki aarthik sthiti majboot hogi aur vaivahik sukh milega.","","","",""
REMEDY,TAURUS,Donation,"Safed Vastu aur Chawal Daan","Shukravar ko safed chawal, doodh, dahi aur safed vastra daan karein kisi mahila ya zaruratmand ko. Yeh daan Shukra ko shant karta hai aur aapke dhan me vriddhi karta hai. Daan karte waqt shraddha aur prem bhavna rakhein. Isse aapke jeevan me sukh aur samriddhi aayegi.","","","",""
REMEDY,TAURUS,Fasting,"Shukravar Vrat aur Meetha Bhojan","Shukravar ka vrat rakhein aur sirf meetha ya safed bhojan jaise kheer, doodh aur phal ka sevan karein. Devi Lakshmi ki puja karein aur unhe kamal ka phool arpit karein. Yeh vrat Shukra ko bal deta hai aur aapke jeevan me prem aur sukh laata hai. Vrat ke din safed vastra pehen kar puja karein.","","","",""
REMEDY,TAURUS,Puja,"Lakshmi Puja aur Shree Yantra","Shukravar ko Lakshmi ji ki puja karein aur Shree Yantra ki sthapna ghar me karein. Kamal ke phool, safed mithai aur kharik arpit karein. Isse aapke ghar me dhan ki sthiti majboot hoti hai aur dukhon ka nash hota hai. Puja ke baad Shree Suktam ka path zaroor karein.","","","",""
REMEDY,GEMINI,Mantra,"Budh Beej Mantra Jaap","Om Braam Breem Braum Sah Budhaya Namah ka 108 baar jaap karein, khas taur par Budhvar ko. Yeh mantra Budh ki kripa badhata hai aur buddhi ko tez karta hai. Subah snan ke baad hare vastra pehen kar jaap karein. Isse aapki vaani me madhurta aayegi aur vyavsay me safalta milegi.","","","",""
REMEDY,GEMINI,Donation,"Hara Moong aur Kamal Daan","Budhvar ko hara moong, hara vastra aur sabzi daan karein kisi zaruratmand ko. Yeh daan Budh ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki buddhi tez hogi aur vyavsay me labh hoga.","","","",""
