type,zodiac,category,title,content,field1,field2,field3,field4
GEMSTONE,ARIES,GEMSTONE,Red Coral,"Red Coral Mangal ka ratna hai jo Aries ke jaatak ke liye sarvadhik shubh hai. Yeh veerata, aatmvishwas aur netritva ki shakti badhata hai aur jeevan me urja laata hai.","Mars","Copper","Ring Finger","Tuesday"
GEMSTONE,ARIES,GEMSTONE,Yellow Sapphire,"Yellow Sapphire Guru ka ratna hai jo Aries ke liye dhan, bhagya aur gyaan laata hai. Yeh vivah me sukh deta hai aur aarthik sthiti ko majboot karta hai.","Jupiter","Gold","Index Finger","Thursday"
GEMSTONE,ARIES,GEMSTONE,Red Garnet,"Red Garnet Mangal ka upratna hai jo Aries ke liye sasta aur prabhavi vikalp hai. Yeh rakta ka dosh dur karta hai aur sharirik urja ko badhata hai.","Mars","Copper","Ring Finger","Tuesday"
GEMSTONE,TAURUS,GEMSTONE,Diamond,"Diamond Shukra ka ratna hai jo Taurus ke jaatak ke liye sarvadhik shubh hai. Yeh saundarya, prem aur aarthik samriddhi laata hai aur vaivahik sukh deta hai.","Venus","Gold","Ring Finger","Friday"
GEMSTONE,TAURUS,GEMSTONE,Opal,"Opal Shukra ka upratna hai jo Taurus ke liye sasta aur prabhavi vikalp hai. Yeh mann ko shant karta hai aur prem sambandhon me madhurta laata hai.","Venus","Silver","Ring Finger","Friday"
GEMSTONE,TAURUS,GEMSTONE,Blue Sapphire,"Blue Sapphire Shani ka ratna hai jo Taurus ke liye dhan aur sthirta laata hai. Lekin ise dharmacharya ki salah se hi dharan karein.","Saturn","Silver","Middle Finger","Saturday"
GEMSTONE,GEMINI,GEMSTONE,Emerald,"Emerald Budh ka ratna hai jo Gemini ke jaatak ke liye sarvadhik shubh hai. Yeh buddhi, vaani aur vyavsay me safalta deta hai aur smriti ko tez karta hai.","Mercury","Gold","Little Finger","Wednesday"
GEMSTONE,GEMINI,GEMSTONE,Green Tourmaline,"Green Tourmaline Budh ka upratna hai jo Gemini ke liye sasta aur prabhavi vikalp hai. Yeh mansik ashanti ko door karta hai aur nirnay lene me madad karta hai.","Mercury","Silver","Little Finger","Wednesday"
GEMSTONE,GEMINI,GEMSTONE,Peridot,"Peridot Budh ka upratna hai jo Gemini ke liye aarthik labh aur vaivahik sukh laata hai. Yeh jeevan me nayi urja aur utsah bharta hai.","Mercury","Gold","Little Finger","Wednesday"
GEMSTONE,CANCER,GEMSTONE,Pearl,"Pearl Chandra ka ratna hai jo Cancer ke jaatak ke liye sarvadhik shubh hai. Yeh mansik shanti, bhavnatmak sthirta aur maa ka aashirwad deta hai.","Moon","Silver","Little Finger","Monday"
GEMSTONE,CANCER,GEMSTONE,Moonstone,"Moonstone Chandra ka upratna hai jo Cancer ke liye sasta aur prabhavi vikalp hai. Yeh neend ki samasya dur karta hai aur mann ko shant rakhta hai.","Moon","Silver","Little Finger","Monday"
