zodiac,sanskrit_name,symbol,symbol_emoji,ruling_planet,tarot_card,lucky_stone,date_range,period,main_text,lucky_number,lucky_color,auspicious_time,mood,love_score,love_text,finance_score,finance_text,career_score,career_text,health_score,health_text
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,TODAY,"Aries ji, aaj Chandra ka gochar aapke bhav ko shakti de raha hai. Mars aapki rashi mein utsah bhar raha hai, lekin jaldbazi se bachein. Pyaar aur paise dono mein santulan rakhein. Sham ko Hanuman Chalisa ka path shubh rahega.",9,Red,06:15 AM – 07:45 AM,💪 Energetic,82,"Venus aapke saath hai, partner ke saath samay bitayein. Chhoti baat ko bada na karein, beta.",74,"Mangal ki urja se nivesh mein labh hai, par jokhim se bachein. Budget banayein.",88,"Career mein naya avsar aa sakta hai. Seniors ka margdarshan lein.",79,"Sehat achi rahegi, par garmi se bachein. Subah vyayam karein."
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,YESTERDAY,"Aries ji, kal Shani ki drishti ne aapko thoda thakaya. Par Mars ki kripa se aap phir se uth khade hue. Ghar mein shanti bani rahi. Aaj se seekh lekar aage badhein.",5,Orange,07:30 AM – 09:00 AM,😌 Peaceful,70,"Partner ke saath thodi doori mehsoos hui. Baat karke suljhayein, ji.",65,"Kharcha zyada hua, par niyantran mein rahe. Bachat par dhyan dein.",72,"Office mein thoda tanav tha, par kaam pura hua.",68,"Thakan ke karan aaram kiya. Neend poori lein."
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,TOMORROW,"Aries ji, kal Surya aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Guru ka ashirwad paise ke maamle mein rahega. Pariwar ke saath shubh samay bitayein.",3,Golden,05:45 AM – 07:15 AM,😁 Happy,78,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat ho sakti hai.",81,"Dhan labh ke yog hain. Vyapar mein fayda hoga.",85,"Naukri mein tareef milegi. Mehnat rang layegi.",80,"Sehat mein sudhar rahega. Halka khana khayein."
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,WEEKLY,"Aries ji, is hafte Chandra aur Mangal ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot hogi, beta.",7,Red,06:00 AM – 07:30 AM,💪 Energetic,75,"Is hafte partner ke saath naya plan banayein. Rishta gehna hoga.",78,"Saptah ke madhya mein arthik labh. Nivesh soch samajh kar karein.",82,"Career mein naya project milega. Tim par pura karein.",76,"Sehat ke liye yoga aur dhyan labhdayak."
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,MONTHLY,"Aries ji, is mahine Guru aur Shani ka prabhav aapke bhagya bhav par rahega. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai aayegi. Dhan aayega par kharch bhi badhega. Santulit rahein.",11,Maroon,07:00 AM – 08:30 AM,😊 Content,80,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath milega.",77,"Vyapar mein vriddhi, par udhar se bachein. Bachat karein.",84,"Promotion ke yog hain. Karyakshetra mein samman milega.",78,"Sehat samanya rahegi. Mausam ke badlav se bachein."
ARIES,Mesh,Ram,♈,Mars,The Emperor,Red Coral (Moonga),Mar 21 – Apr 19,YEARLY,"Aries ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se karmakshetra mein mehnat zyada. Pyaar aur vivah ke yog hain. Swasthya ke liye niyamit dincharya apnayein. Dhan sanchay hoga.",1,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,83,"Varsh ke madhya mein vivah ya sagai ke yog. Prem mein safalta.",79,"Saal ke ant mein bada arthik labh. Property ka yog.",86,"Naukri mein unnati, par transfer ho sakta hai.",81,"Swasthya ke liye saavdhani. Regular checkup karayein."
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,TODAY,"Vrishabh ji, aaj Shukra aapki rashi mein madhurta la raha hai. Chandra dhan bhav mein sthiti banakar sukh dega. Pyaar mein din shubh hai. Kaam mein dhairya rakhein, jaldbazi nahi.",6,White,08:00 AM – 09:30 AM,😌 Peaceful,88,"Shukra ka ashirwad, partner ke saath mitha samay. Rishta majboot hoga.",76,"Dhan aayega, par fizul kharch se bachein. Nivesh mein soch samajh.",80,"Office mein chain rahega. Kaam samay par pura hoga.",84,"Sehat achi, par thanda khana se bachein."
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,YESTERDAY,"Vrishabh ji, kal Chandra ne aapko bhavnaon mein gehrai di. Shukra ki kripa se parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",14,Pink,09:15 AM – 10:45 AM,🙂 Calm,72,"Partner se thodi narazgi hui. Mana kar suljhayein, ji.",68,"Kharcha zyada hua, par niyantran mein raha.",74,"Kaam mein rukavat aayi, par samay se pura hua.",70,"Pet ki gadbad ho sakti hai. Halka khana khayein."
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,TOMORROW,"Vrishabh ji, kal Guru ka prabhav aapke dhan bhav par rahega. Naya avsar milega, par sabra rakhein. Pyaar mein gehraai aayegi. Parivar ka saath milega, beta.",22,Green,07:45 AM – 09:15 AM,😊 Content,84,"Venus aur Jupiter ka yog, rishton mein mithaas. Kisi khaas se mulakat.",82,"Dhan labh ke yog, nivesh se fayda hoga.",79,"Career mein naya avsar. Seniors khush honge.",81,"Sehat mein sudhar. Subah ki dhoop lein."
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,WEEKLY,"Vrishabh ji, is hafte Shukra aur Chandra ka yog sukh aur samriddhi layega. Pyaar mein madhurta rahegi. Kaam mein mehnat rang layegi. Dhan ki sthiti majboot hogi.",18,Yellow,08:30 AM – 10:00 AM,😁 Happy,82,"Partner ke saath naya plan. Rishta aur gehna hoga.",80,"Saptah ke madhya mein arthik labh. Bachat karein.",83,"Career mein tareef. Naya kaam milega.",79,"Sehat achi, par aaram zaroori."
