type,zodiac,category,title,content,field1,field2,field3,field4
GENERAL,ARIES,Personality,"Courageous Pioneer with Fiery Spirit","Aap ka janm Mesh rashi me hua hai, jisme Mangal ka prabhav sabse zyada hai. Aap swabhav se hi bahadur, urja se bharpur aur netritva karne wale hote hain. Kabhi bhi peechhe nahi hatate, chahe kitni bhi badi chunauti kyun na ho. Aapki vaani me tejasvita hoti hai aur log aapki baat sunte hain. Lekin kabhi-kabhi jaldbazi me nirnay le lete hain, isliye thoda ruk kar sochna aapke liye faydemand rahega.","","","",""
GENERAL,ARIES,Career,"Dynamic Leader in Professional Life","Career ke kshetra me aap hamesha aage badhne ki chaah rakhte hain. Mangal ki kripa se aap fauj, khel, engineering ya business jaise kshetron me safal hote hain. Aapko apne dum par kaam karne me hi aanand aata hai. Senior aapki mehnat se prabhavit hote hain aur unnati ke avsar milte hain. Kisi bhi naye kaam ki shuruaat aap bahut utsah se karte hain, lekin use poora karne me dhairya rakhna zaroori hai.","","","",""
GENERAL,ARIES,Love,"Passionate Lover with Deep Loyalty","Prem ke mamle me aap bahut hi utsahee aur samarpit hote hain. Jab aap kisi se pyaar karte hain to poori shiddat se karte hain. Aapke partner ko aapke saath kabhi boredom nahi hoti kyunki aap hamesha kuch naya karte rehte hain. Lekin aapki tez swabhav ki wajah se chhoti-chhoti baaton par jhagda ho sakta hai. Thoda shaant rahna aur partner ki baat sunna rishte ko aur mazboot banayega.","","","",""
GENERAL,ARIES,Health,"Vitality Needs Balanced Energy","Aapki sehat aam taur par achhi rehti hai kyunki Mangal aapko urja deta hai. Lekin yeh urja kabhi-kabhi ati hai aur aap apne sharir ki seema ko bhool jate hain. Sar dard, bukhar aur chot lagne ke mamle aapke saath aam hain. Subah ka vyayam aur santulit ahar aapke liye ausdhi ke saman hai. Zyada gussa karna aur jaldbazi karna aapki sehat par bura asar daal sakta hai, isliye meditation karein.","","","",""
GENERAL,ARIES,Wealth,"Earning Through Courage and Initiative","Dhan ke mamle me aap apni himmat aur mehnat ke bal par kamate hain. Aap kisi ke sahare nahi baith sakte, isliye khud ka kaam ya business aapke liye achha rehta hai. Paisa aata hai lekin kharch bhi tez hota hai, khas taur par shopping aur entertainment par. Property ya zameen me nivesh aapke liye faydemand ho sakta hai. Bachat ki aadat banayein, warna haath khali reh sakta hai.","","","",""
GENERAL,ARIES,Family,"Protective Yet Dominant Family Member","Parivar me aap bade bhai ya neta ki bhumika nibhate hain. Aap apne ghar walon ki raksha ke liye hamesha taiyar rehte hain. Maa aur pita ke saath aapka rishta gahra hota hai, lekin kabhi-kabhi aapki zid ki wajah se takraar ho jati hai. Chhote bhai-behen aapko bahut maante hain. Ghar ka mahaul tab tak shant nahi rehta jab tak aap apni baat manwa na lein, isliye thoda lachilapan apnayein.","","","",""
GENERAL,ARIES,Spirituality,"Fiery Seeker on Spiritual Path","Adhyatm ke kshetra me aapki ruchi baad me jagti hai, lekin jab jagti hai to poori shiddat se. Aap Hanuman ji aur Mangal Dev ke bhakt hote hain. Aapke liye dharma ka matlab himmat aur satya hai. Meditation me baithna aapke liye mushkil hota hai kyunki aapka mann chanchal hai, lekin karma yoga aapke liye sadhana hai. Seva aur parakram ke dwaara aap Parmatma ko paate hain.","","","",""
GENERAL,TAURUS,Personality,"Grounded Soul with Artistic Grace","Aap Vrishabh rashi ke jaatak hain, jisme Shukra ka raaj hai. Aap swabhav se shant, dhairya wale aur saundarya premi hote hain. Aapko sukh-suvidha, accha khana aur sundar cheezein bahut pasand hain. Kisi bhi kaam ko aap jaldi nahi karte, lekin jo karte hain use poore mann se karte hain. Aapke andar ek sthirta hai jo logon ko surakshit mahsoos karati hai. Zid thodi zyada hoti hai, isliye kuch naya apnane me jhijhak hoti hai.","","","",""
GENERAL,TAURUS,Career,"Steady Builder of Lasting Success","Career me aap bahut hi parishrami aur vishwasniya maane jate hain. Shukra ki kripa se banking, finance, food, art aur real estate jaise kshetron me aapko safalta milti hai. Aapko jaldi kamyabi nahi milti, lekin jo milti hai woh sthayi hoti hai. Aap apne kaam se pyaar karte hain aur usme perfection chahte hain. Kisi bhi naye mauke ko thoda soch-samajh kar apnayein, kyunki aapki sthirta hi aapki taakat hai.","","","",""
GENERAL,TAURUS,Love,"Loyal Partner with Sensual Charm","Prem ke mamle me aap bahut hi wafadar aur samarpit hote hain. Aap apne partner ko sukh aur suvidha dena chahte hain aur uski har zarurat ka dhyan rakhte hain. Aapki touch, khana aur romantic gestures se bhari hui love language partner ko khaas mehsoos karati hai. Lekin aapki possessive nature kabhi-kabhi rishte me tanav la sakti hai. Apne partner ko thodi azaadi dein aur unke sapno ko samjhein.","","","",""
