zodiac,planet,start_offset_years,end_offset_years,house,sign,paragraph1,paragraph2
Aries,Ketu,0,7,12,Pisces,"During this Dasha period, you will experience a strong pull toward spiritual matters and letting go of material attachments. The placement of Ketu in the twelfth house suggests expenses related to foreign lands, hidden matters, and a tendency toward isolation. You may feel drawn to meditation and moksha, yet face obstacles in worldly gains. Health of the feet and sleep patterns require attention. This is a time of inner growth through detachment and surrender.","The placement of Ketu in Pisces suggests a deeply mystical and compassionate nature during this Mahadasha. You will find yourself dissolving old karmic patterns and embracing a higher spiritual path. Dreams become vivid and prophetic, and your intuition sharpens considerably. However, confusion in relationships and financial matters may arise. Charitable acts bring relief, and pilgrimage to sacred waters proves beneficial for your soul's evolution."
Aries,Venus,7,27,2,Taurus,"During this Dasha period, you will enjoy financial prosperity and accumulation of wealth through personal efforts. The placement of Venus in the second house suggests gains through family, speech, and valuable possessions. Your relationships with relatives improve, and you may acquire jewelry, vehicles, and property. Delicious food and comfortable living become prominent. However, overindulgence in pleasures could lead to unnecessary expenditure. Overall, this is a highly rewarding period for material comfort and family harmony.","The placement of Venus in Taurus suggests a strong focus on luxury, beauty, and financial security throughout this Mahadasha. You will express yourself with charm and artistic grace, attracting wealth through creative pursuits. Family life flourishes, and your speech carries persuasive power. Romantic relationships deepen, and marriage prospects brighten. Yet possessiveness and attachment to comforts may create minor tensions. Gardens, music, and fine cuisine bring particular joy and prosperity."
Aries,Sun,27,33,1,Aries,"During this Dasha period, you will experience heightened self-confidence and a desire to lead. The placement of Sun in the first house suggests recognition from authority figures and government favors. Your personality shines brightly, and health improves with vitality. However, ego clashes and arrogance may strain relationships. This is an excellent time for promotion and personal achievement. Father's health and ancestral matters come into focus, bringing both pride and responsibility.","The placement of Sun in Aries suggests a bold, pioneering spirit throughout this Mahadasha. You will assert your will forcefully and take initiative in new ventures. Leadership roles come naturally, and your reputation grows through courage. Yet impulsiveness and temper may cause setbacks in partnerships. Physical vitality remains strong, but head injuries or fevers require caution. Authority figures support your ambitions, and your soul's purpose aligns with dharma and righteous action."
Aries,Moon,33,43,4,Moon,"During this Dasha period, you will experience emotional fulfillment through home and mother. The placement of Moon in the fourth house suggests domestic happiness, property acquisition, and vehicle purchases. Your mind becomes receptive and nurturing, fostering deep family bonds. However, mood swings and attachment to the past may cloud judgment. This is an auspicious time for buying land, renovating your residence, and reconnecting with your roots. Inner peace comes through emotional security.","The placement of Moon in Cancer suggests a profoundly sentimental and intuitive Mahadasha. You will feel deeply connected to your mother, homeland, and childhood memories. Emotional intelligence guides your decisions, and you nurture others with genuine care. Yet excessive sensitivity and dependency may hinder growth. Water-related travels and religious ceremonies bring satisfaction. Your public popularity rises, and you may receive honors from women or maternal figures."
Aries,Mars,43,50,7,Libra,"During this Dasha period, you will experience intense energy directed toward partnerships and marriage. The placement of Mars in the seventh house suggests passion, conflict, and dynamic interactions with your spouse. Business partnerships require careful negotiation to avoid disputes. Your drive to succeed in joint ventures is strong, but impulsiveness may cause legal matters. This is a time for courage in relationships, balancing assertiveness with diplomacy. Competitors challenge you, yet you prevail through determination.","The placement of Mars in Libra suggests a Mahadasha focused on balancing personal desires with partnership needs. You will fight for justice and fairness in relationships, sometimes aggressively. Romantic attraction is powerful, but arguments over dominance arise. Your diplomacy skills develop through conflict, and you learn compromise. Business dealings with foreigners prosper. Physical vitality remains robust, though kidney or lower back issues may surface. Legal victories favor those who act with restraint."
Aries,Rahu,50,68,10,Capricorn,"During this Dasha period, you will experience dramatic career expansion and worldly ambition. The placement of Rahu in the tenth house suggests sudden fame, government connections, and unconventional professional paths. You may rise rapidly in status but face scandals or ethical dilemmas. Foreign opportunities beckon, and technology or politics attract you. This is a time of great material achievement coupled with karmic lessons about power. Your reputation becomes a central focus, bringing both admiration and criticism.","The placement of Rahu in Capricorn suggests a Mahadasha marked by relentless pursuit of success and authority. You will employ cunning strategies to climb professional ladders, sometimes bending rules. Ambition consumes your attention, and you may neglect family for career. Yet this placement grants exceptional organizational skills and endurance. Health of knees and joints requires care. Unexpected promotions arrive, and you may lead large organizations. Ultimately, you learn that true power lies in ethical conduct."
Aries,Jupiter,68,84,9,Pisces,"During this Dasha period, you will experience profound spiritual growth and luck through higher learning. The placement of Jupiter in the ninth house suggests pilgrimages, philosophical studies, and blessings from gurus. Your faith deepens, and you may teach or publish works of wisdom. Long-distance travel brings fortune, and your father's guidance proves invaluable. This is one of the most auspicious periods for dharma, charity, and expanding your horizons. Divine grace protects you throughout.","The placement of Jupiter in Pisces suggests an expansive, compassionate Mahadasha rooted in universal love. You will feel drawn to mysticism, charity, and serving the underprivileged. Intuition and dream guidance become powerful. Wealth flows through foreign connections and spiritual pursuits. Yet over-optimism and extravagance may drain resources. Your reputation as a wise, generous soul grows. This period favors meditation retreats, temple building, and acts of selfless giving that elevate your soul."
Aries,Saturn,84,103,11,Capricorn,"During this Dasha period, you will experience steady gains through persistent effort and networking. The placement of Saturn in the eleventh house suggests fulfillment of long-cherished desires and income from multiple sources. Elder siblings and influential friends support your ambitions. However, delays and bureaucratic hurdles test your patience. This is a time of building lasting wealth through discipline. Social causes and large organizations bring rewards. Your reputation for reliability attracts powerful allies who advance your goals.","The placement of Saturn in Capricorn suggests a Mahadasha characterized by duty, structure, and slow but certain achievement. You will shoulder heavy responsibilities with maturity, earning respect through hard work. Financial growth comes through frugality and long-term investments. Yet pessimism and isolation may affect your mental state. Bones, teeth, and joints require attention. Elderly figures guide your path, and you may lead institutions. Ultimately, this period rewards integrity and perseverance with enduring success."
Aries,Mercury,103,120,3,Gemini,"During this Dasha period, you will experience sharpened intellect and success in communication. The placement of Mercury in the third house suggests gains through writing, teaching, and short journeys. Siblings and neighbors play important roles in your progress. Your courage in speech wins arguments and negotiations. Business dealings flourish, especially in trade and technology. This is an excellent time for publishing, marketing, and learning new skills. Mental agility brings quick solutions to long-standing problems.","The placement of Mercury in Gemini suggests a highly versatile and curious Mahadasha. You will juggle multiple interests and excel in networking, media, and analytical work. Your wit and charm attract diverse friends and opportunities. However, scattered focus and nervous energy may cause anxiety. Travel for education or commerce proves profitable. Respiratory and skin issues need monitoring. Your ability to communicate persuasively opens doors to leadership in intellectual fields."
Taurus,Ketu,0,7,11,Pisces,"During this Dasha period, you will experience unexpected gains through spiritual or foreign connections. The placement of Ketu in the eleventh house suggests fulfillment of desires through detachment rather than pursuit. Friends may become distant, yet new mystical associations form. Income from charitable or hidden sources appears. You may feel less interested in social gatherings, preferring solitude. This is a time of karmic completion regarding network and ambitions. Letting go brings unexpected liberation and peace.","The placement of Ketu in Pisces suggests a Mahadasha of intuitive insight and quiet prosperity. You will earn through creative or healing arts, often without conventional effort. Old friendships dissolve to make way for soul-level connections. Your dreams reveal financial opportunities. Yet confusion in group dealings and misplaced trust may cause losses. Meditation and charity stabilize your gains. This period favors letting go of material greed and embracing a simpler, more compassionate lifestyle."
