zodiac,chart_type,house1,house2,house3,house4,house5,house6,house7,house8,house9,house10,house11,house12
Aries,D1,Su,Mo,Me,Ve,Ma,Ju,Sa,Ra,Ke,,,
Aries,D9,Mo,Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,,,
Taurus,D1,Mo,Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,,,
Taurus,D9,Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,,,
Gemini,D1,Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,,,
Gemini,D9,Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,Me,,,
Cancer,D1,Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,Me,,,
Cancer,D9,Ma,Ju,Sa,Ra,Ke,Su,Mo,Me,Ve,,,
Leo,D1,Ma,Ju,Sa,Ra,Ke,Su,Mo,Me,Ve,,,
Leo,D9,Ju,Sa,Ra,Ke,Su,Mo,Me,Ve,Ma,,,
Virgo,D1,Ju,Sa,Ra,Ke,Su,Mo,Me,Ve,Ma,,,
Virgo,D9,Sa,Ra,Ke,Su,Mo,Me,Ve,Ma,Ju,,,
Libra,D1,Sa,Ra,Ke,Su,Mo,Me,Ve,Ma,Ju,,,
Libra,D9,Ra,Ke,Su,Mo,Me,Ve,Ma,Ju,Sa,,,
Scorpio,D1,Ra,Ke,Su,Mo,Me,Ve,Ma,Ju,Sa,,,
Scorpio,D9,Ke,Su,Mo,Me,Ve,Ma,Ju,Sa,Ra,,,
Sagittarius,D1,Ke,Su,Mo,Me,Ve,Ma,Ju,Sa,Ra,,,
Sagittarius,D9,Su,Mo,Me,Ve,Ma,Ju,Sa,Ra,Ke,,,
Capricorn,D1,Su|Mo,Me,Ve,Ma,Ju,Sa,Ra,Ke,,,,,
Capricorn,D9,Mo|Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,,,,,
Aquarius,D1,Mo|Me,Ve,Ma,Ju,Sa,Ra,Ke,Su,,,,,
Aquarius,D9,Me|Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,,,,,
Pisces,D1,Me|Ve,Ma,Ju,Sa,Ra,Ke,Su,Mo,,,,,
Pisces,D9,Ve|Ma,Ju,Sa,Ra,Ke,Su,Mo,Me,,,,,
